row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
1,gaussian_process,0,bucketed,none,64,512,3,29,3.823414757847786,3.370123617351055,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,0,7.471962504088879,22.853718638420105,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,1,3.726617194712162,4.382054321467876,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,2,3.8356548324227333,3.3968698754906654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,3,3.8672672882676125,3.424249090254307,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,4,3.91963117569685,3.2486650720238686,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,5,3.7446849644184113,3.710359774529934,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,6,4.262610509991646,3.738581322133541,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,7,4.752759546041489,3.6592943221330643,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,8,4.7339415699243546,3.6746280044317245,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,9,4.384950511157513,3.6899296417832375,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,10,3.8159268870949745,3.6540850400924683,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,11,3.6381931081414223,3.6484180837869644,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,12,3.745663844048977,3.6531287655234337,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,13,3.6901373714208603,3.6463629081845284,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,14,3.6772571578621864,3.6698237657546997,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,15,3.861260712146759,3.7705836445093155,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,16,3.79963568598032,3.702522285282612,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,17,3.6266169622540474,3.566666468977928,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,18,3.8047042191028595,3.5373875200748444,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,19,3.8746760487556458,4.098819449543953,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,20,3.756100356578827,3.7127795293927193,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,21,3.7551870867609978,3.605560392141342,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,22,3.8464629650115967,3.676087774336338,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,23,4.481007516384125,3.6585437804460526,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,24,3.656920999288559,3.6854527592658997,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,25,3.6109056398272514,3.528969593346119,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,26,3.5398723483085632,3.6074571311473846,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,27,3.61652971804142,3.880953848361969,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,28,3.5234281048178673,3.553792953491211,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,29,3.5385408103466034,3.370123617351055,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,0,3.5795211791992188,22.853718638420105,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,1,3.6317115128040314,4.382054321467876,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,2,3.668000638484955,3.3968698754906654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,3,3.634841486811638,3.424249090254307,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,4,3.77687818557024,3.2486650720238686,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,5,4.059535995125771,3.710359774529934,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,6,3.8697729855775833,3.738581322133541,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,7,3.630948528647423,3.6592943221330643,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,8,3.661179192364216,3.6746280044317245,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,9,3.6593111753463745,3.6899296417832375,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,10,3.7682691141963005,3.6540850400924683,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,11,3.8433552905917168,3.6484180837869644,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,12,3.767349034547806,3.6531287655234337,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,13,3.71401409804821,3.6463629081845284,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,14,3.5542821288108826,3.6698237657546997,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,15,3.700487293303013,3.7705836445093155,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,16,3.6633406654000282,3.702522285282612,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,17,3.6828190311789513,3.566666468977928,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,18,3.7280873879790306,3.5373875200748444,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,19,3.860155366361141,4.098819449543953,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,20,3.687040738761425,3.7127795293927193,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,21,3.9020154923200607,3.605560392141342,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,22,3.6761283725500107,3.676087774336338,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,23,3.668620817363262,3.6585437804460526,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,24,3.6338860914111137,3.6854527592658997,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,25,3.597175531089306,3.528969593346119,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,26,3.7044802233576775,3.6074571311473846,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,27,3.7915353775024414,3.880953848361969,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,28,3.852541759610176,3.553792953491211,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,29,3.8331020176410675,3.370123617351055,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,0,3.6662250831723213,22.853718638420105,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,1,4.055543050169945,4.382054321467876,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,2,3.599015712738037,3.3968698754906654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,3,3.5630724728107452,3.424249090254307,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,4,3.5895020216703415,3.2486650720238686,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,5,3.5976507514715195,3.710359774529934,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,6,3.793456941843033,3.738581322133541,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,7,4.3327586725354195,3.6592943221330643,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,8,4.004438728094101,3.6746280044317245,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,9,3.9616596028208733,3.6899296417832375,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,10,4.488412253558636,3.6540850400924683,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,11,4.424754478037357,3.6484180837869644,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,12,3.8327422738075256,3.6531287655234337,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,13,4.21024314314127,3.6463629081845284,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,14,5.3284251019358635,3.6698237657546997,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,15,4.300380043685436,3.7705836445093155,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,16,4.5250352919101715,3.702522285282612,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,17,4.547875493764877,3.566666468977928,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,18,4.500892110168934,3.5373875200748444,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,19,4.594053722918034,4.098819449543953,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,20,3.989251032471657,3.7127795293927193,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,21,3.783852867782116,3.605560392141342,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,22,3.7783441618084908,3.676087774336338,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,23,3.865714393556118,3.6585437804460526,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,24,3.8231862485408783,3.6854527592658997,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,25,4.135290637612343,3.528969593346119,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,26,3.865763835608959,3.6074571311473846,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,27,3.7978346794843674,3.880953848361969,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,28,3.9528459310531616,3.553792953491211,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,29,3.836480639874935,3.370123617351055,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,0,3.9031840190291405,22.853718638420105,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,1,3.8815830424427986,4.382054321467876,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,2,3.7672373354434967,3.3968698754906654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,3,3.8489754423499107,3.424249090254307,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,4,3.978763520717621,3.2486650720238686,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,5,4.05678927898407,3.710359774529934,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,6,4.136331610381603,3.738581322133541,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,7,4.000528559088707,3.6592943221330643,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,8,4.0831614807248116,3.6746280044317245,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,9,3.840937092900276,3.6899296417832375,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,10,3.753288969397545,3.6540850400924683,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,11,4.040524400770664,3.6484180837869644,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,12,4.3671823143959045,3.6531287655234337,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,13,4.032965764403343,3.6463629081845284,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,14,3.728042133152485,3.6698237657546997,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,15,3.8352380841970444,3.7705836445093155,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,16,3.830142691731453,3.702522285282612,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,17,4.034588687121868,3.566666468977928,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,18,4.127823024988174,3.5373875200748444,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,19,4.063148967921734,4.098819449543953,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,20,3.79778178781271,3.7127795293927193,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,21,4.085606977343559,3.605560392141342,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,22,4.319592632353306,3.676087774336338,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,23,4.11777338385582,3.6585437804460526,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,24,4.14636766910553,3.6854527592658997,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,25,3.894778661429882,3.528969593346119,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,26,3.8883919790387154,3.6074571311473846,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,27,3.837436892092228,3.880953848361969,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,28,3.9363060295581818,3.553792953491211,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,gaussian_process,0,bucketed,last_depth,64,512,3,29,3.87009909003973,3.370123617351055,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,gaussian_process,0,bucketed,last_depth,128,512,3,0,4.211828328669071,22.853718638420105,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,gaussian_process,0,bucketed,last_depth,128,512,3,1,3.853238023817539,4.382054321467876,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,gaussian_process,0,bucketed,last_depth,128,512,3,2,3.744586080312729,3.3968698754906654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,gaussian_process,0,bucketed,last_depth,128,512,3,3,3.895646445453167,3.424249090254307,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,gaussian_process,0,bucketed,last_depth,128,512,3,4,3.7367042750120163,3.2486650720238686,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,gaussian_process,0,bucketed,last_depth,128,512,3,5,3.6881050392985344,3.710359774529934,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,gaussian_process,0,bucketed,last_depth,128,512,3,6,3.9064162895083427,3.738581322133541,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,gaussian_process,0,bucketed,last_depth,128,512,3,7,3.7975007221102715,3.6592943221330643,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,gaussian_process,0,bucketed,last_depth,128,512,3,8,3.8081062361598015,3.6746280044317245,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
