row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
1,funnel,0,bucketed,history,64,128,4,28,0.4986996203660965,0.5048968493938446,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,29,0.5084165334701538,0.47072646766901016,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,0,0.5647869110107422,0.48086803406476974,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,1,0.6310927793383598,0.43754449486732483,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,2,0.6187814399600029,0.493364542722702,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,3,0.5972289517521858,0.4655666872859001,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,4,0.5704907327890396,0.5092131718993187,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,5,0.6078783124685287,0.5067403838038445,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,6,0.6221143454313278,0.5238175466656685,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,7,0.5670677945017815,0.43955548107624054,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,8,0.5931858345866203,0.5112926140427589,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,9,0.5516097396612167,0.5150169655680656,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,10,0.5624301433563232,0.4865223467350006,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,11,0.5417175740003586,0.49725694209337234,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,12,0.6820315569639206,0.4735590070486069,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
