row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
1,hierarchical_logistic,0,bucketed,none,64,512,8,17,0.5355774313211441,0.33774925023317337,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,18,0.4502723887562752,0.3452396020293236,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,19,0.4148760214447975,0.34999529272317886,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,20,0.4745362475514412,0.34414228796958923,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,21,0.4379778429865837,0.34170185029506683,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,22,0.5928741469979286,0.34769129008054733,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,23,0.4499256759881973,0.35095154494047165,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,24,0.5170917585492134,0.3450822979211807,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,25,0.4450961574912071,0.3466787561774254,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,26,0.48908446729183197,0.35295601934194565,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,27,0.4463367611169815,0.35189341753721237,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,28,0.47241824865341187,0.4169389307498932,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,29,0.46539948135614395,0.35354384034872055,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,0,0.5692125037312508,0.38843854516744614,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,1,0.5476112440228462,0.3513946235179901,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,2,0.5041345506906509,0.3631865531206131,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,3,0.5590192228555679,0.3400320038199425,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,4,0.5217093303799629,0.35279129445552826,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,5,0.4908372163772583,0.35653693974018097,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,6,0.49399615079164505,0.34479818493127823,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,7,0.5195942297577858,0.34521501511335373,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,8,0.4910523444414139,0.3411964327096939,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,9,0.5073821619153023,0.35056132078170776,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,10,0.4748639464378357,0.3442094027996063,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,11,0.5045497417449951,0.3439497575163841,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,12,0.5324010625481606,0.34905607253313065,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,13,0.5167869701981544,0.35771167278289795,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,14,0.5104629322886467,0.340014711022377,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,15,0.528170220553875,0.34860461205244064,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,16,0.5209363028407097,0.35313327610492706,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,17,0.5162831470370293,0.33774925023317337,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,18,0.5193957388401031,0.3452396020293236,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,19,0.5501132905483246,0.34999529272317886,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,20,0.583198793232441,0.34414228796958923,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,21,0.5612911060452461,0.34170185029506683,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,22,0.580452024936676,0.34769129008054733,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,23,0.5079167857766151,0.35095154494047165,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,24,0.5205705314874649,0.3450822979211807,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,25,0.5241669937968254,0.3466787561774254,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,26,0.5713205337524414,0.35295601934194565,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
