row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
2,eight_schools_noncentered,0,bucketed,none,128,512,10,2,0.49481187015771866,0.4250868037343025,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,3,0.40234678238630295,0.4060724675655365,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,4,0.4218274801969528,0.44676224142313004,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,5,0.4392942264676094,0.39757394045591354,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,6,0.4640752673149109,0.4016559198498726,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,7,0.41594670712947845,0.38334309309720993,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,8,0.4403695687651634,0.3394717425107956,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,9,0.43297944962978363,0.37297769635915756,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,10,0.4287635609507561,0.34605366736650467,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,11,0.4374341443181038,0.42808888107538223,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,12,0.4546020179986954,0.4287589490413666,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,13,0.42886409163475037,0.420529380440712,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,14,0.4302356168627739,0.4115296006202698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,15,0.47653089463710785,0.3401256948709488,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,16,0.4572136178612709,0.42289555817842484,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,17,0.4182610884308815,0.3769807815551758,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,18,0.41893500834703445,0.38544071465730667,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,19,0.4156133085489273,0.3453206568956375,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,20,0.4397813454270363,0.3646005839109421,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,21,0.428365059196949,0.32939979434013367,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,22,0.4382203370332718,0.32387368381023407,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,23,0.44938164204359055,0.4330030307173729,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,24,0.4232242703437805,0.32279250025749207,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,25,0.4725795164704323,0.37614551186561584,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,26,0.44705930352211,0.4412890747189522,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,27,0.4275925010442734,0.3443664237856865,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,28,0.42892416566610336,0.4727290868759155,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,29,0.4255356714129448,0.33263758569955826,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,0,0.5780316516757011,0.43371886759996414,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,1,0.5280642211437225,0.4233863726258278,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,2,0.4986903741955757,0.4250868037343025,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,3,0.44085579365491867,0.4060724675655365,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,4,0.5203338116407394,0.44676224142313004,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,5,0.5401007160544395,0.39757394045591354,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,6,0.4190574586391449,0.4016559198498726,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,7,0.46473701298236847,0.38334309309720993,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,8,0.5305163040757179,0.3394717425107956,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,9,0.4565551355481148,0.37297769635915756,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,10,0.448261134326458,0.34605366736650467,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,11,0.5317901819944382,0.42808888107538223,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,12,0.45493433624505997,0.4287589490413666,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,13,0.5008827671408653,0.420529380440712,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,14,0.4943711459636688,0.4115296006202698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,15,0.4844859316945076,0.3401256948709488,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,16,0.4702206403017044,0.42289555817842484,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,17,0.5038088262081146,0.3769807815551758,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,18,0.6048348844051361,0.38544071465730667,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,19,0.5209155008196831,0.3453206568956375,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,20,0.5970565527677536,0.3646005839109421,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,21,0.6069382056593895,0.32939979434013367,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,22,0.5331228077411652,0.32387368381023407,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,23,0.4903608486056328,0.4330030307173729,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,24,0.5402656197547913,0.32279250025749207,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,25,0.5414717197418213,0.37614551186561584,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,26,0.4810687378048897,0.4412890747189522,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,27,0.5064690336585045,0.3443664237856865,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,28,0.44838352501392365,0.4727290868759155,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,29,0.5414504781365395,0.33263758569955826,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,0,0.46155504137277603,0.43371886759996414,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,1,0.43100449442863464,0.4233863726258278,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,2,0.5387872159481049,0.4250868037343025,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,3,0.43267905712127686,0.4060724675655365,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,4,0.41479068994522095,0.44676224142313004,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,5,0.4251697212457657,0.39757394045591354,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,6,0.44954124838113785,0.4016559198498726,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,7,0.4589144214987755,0.38334309309720993,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,8,0.45081777125597,0.3394717425107956,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,9,0.4353090450167656,0.37297769635915756,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,10,0.41563908755779266,0.34605366736650467,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,11,0.4268455505371094,0.42808888107538223,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,12,0.4270186871290207,0.4287589490413666,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,13,0.4183172360062599,0.420529380440712,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,14,0.456583172082901,0.4115296006202698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,15,0.400276355445385,0.3401256948709488,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,16,0.4321010336279869,0.42289555817842484,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,17,0.46229714155197144,0.3769807815551758,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,18,0.42828497290611267,0.38544071465730667,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,19,0.417037732899189,0.3453206568956375,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,20,0.4204694479703903,0.3646005839109421,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,21,0.47441937029361725,0.32939979434013367,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,22,0.452488549053669,0.32387368381023407,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,23,0.4212283119559288,0.4330030307173729,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,24,0.4078425243496895,0.32279250025749207,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,25,0.4210878610610962,0.37614551186561584,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,26,0.45769599825143814,0.4412890747189522,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,27,0.475995808839798,0.3443664237856865,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,28,0.4249316677451134,0.4727290868759155,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,29,0.5316836535930634,0.33263758569955826,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,0,0.4868791252374649,0.43371886759996414,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,1,0.4524737149477005,0.4233863726258278,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,2,0.4879288002848625,0.4250868037343025,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,3,0.4252528101205826,0.4060724675655365,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,4,0.4309179112315178,0.44676224142313004,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,5,0.4484398066997528,0.39757394045591354,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_noncentered,0,bucketed,last_depth,64,512,10,6,0.507516548037529,0.4016559198498726,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
