row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
1,eight_schools_centered,0,bucketed,none,64,512,10,25,2.1107260286808014,2.0800612345337868,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,26,2.2267065569758415,2.040302462875843,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,27,2.1609170213341713,2.053363487124443,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,28,2.0175105407834053,2.085471771657467,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,29,1.9969517141580582,2.028571493923664,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,0,4.278291292488575,6.616889916360378,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,1,1.9275902807712555,2.0792775973677635,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,2,1.8534380570054054,2.043062835931778,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,3,1.8728811964392662,1.9970072135329247,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,4,1.8423015847802162,1.9923262000083923,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,5,1.8578945621848106,2.1531567201018333,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,6,1.8761371970176697,2.0624205097556114,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,7,1.8788054808974266,2.059899851679802,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,8,1.898962363600731,2.0969169810414314,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,9,1.8634478524327278,2.1098748072981834,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,10,1.9084302112460136,2.103776454925537,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,11,1.858736015856266,2.0339782685041428,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,12,1.9078497663140297,2.0171046629548073,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,13,1.8599202185869217,2.0841848850250244,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,14,1.8492252379655838,2.0174858942627907,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,15,1.9023851156234741,2.100391775369644,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,16,1.808900147676468,1.9914533644914627,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,17,1.8687380254268646,2.0405857786536217,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,18,2.0025117248296738,2.0139219909906387,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,19,1.8557556495070457,2.03299493342638,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,20,1.8628223687410355,2.0420066565275192,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,21,1.8490082025527954,2.30061886459589,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,22,1.8661762103438377,2.491060383617878,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,23,1.8631871119141579,2.551964722573757,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,24,1.879691630601883,2.130551427602768,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,25,1.8820596933364868,2.0800612345337868,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,26,1.8507570326328278,2.040302462875843,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,27,1.8581484034657478,2.053363487124443,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,28,1.8657897785305977,2.085471771657467,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,29,1.8973286226391792,2.028571493923664,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,0,2.1410241201519966,6.616889916360378,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,1,2.118207983672619,2.0792775973677635,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,2,1.9704175665974617,2.043062835931778,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
