row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
2,funnel,0,bucketed,none,128,512,4,29,1.632116712629795,0.9882810711860657,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,0,1.1133956089615822,1.1752708405256271,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,1,1.1633165925741196,1.1890087276697159,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,2,1.09038458019495,1.2606843411922455,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,3,1.1238953694701195,1.1545001938939095,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,4,1.122996300458908,1.206381805241108,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,5,1.1431161016225815,1.260070115327835,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,6,0.9772021919488907,1.2572556287050247,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,7,1.0946320369839668,1.137234017252922,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,8,1.1054096594452858,1.167175978422165,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,9,1.0087722539901733,1.137881062924862,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,10,0.9630927816033363,1.2213558703660965,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,11,1.000040054321289,1.1488689631223679,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,12,0.9520336091518402,1.086995154619217,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,13,1.025522768497467,1.1354252025485039,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,14,1.0640616342425346,1.11166300624609,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,15,0.9640003219246864,1.018838256597519,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,16,0.9254854395985603,1.0008684322237968,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,17,0.9125799387693405,1.0653982758522034,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,18,1.0522942394018173,1.0106080323457718,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,19,1.0232711657881737,1.045932061970234,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,20,1.0901313498616219,1.0115579143166542,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,21,0.9390509873628616,1.0051675140857697,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,22,0.9060033112764359,1.0205219611525536,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,23,0.9982645809650421,1.0334468856453896,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,24,0.958213560283184,1.0451246723532677,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,25,0.9836694151163101,0.999073289334774,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,26,0.9965819418430328,1.0261517688632011,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
