_family,model,method,predictor,bucket_size,num_chains,dimension,seed,num_steps,speedup_vs_monolithic,t_mono,t_bucket,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,mono_total_leapfrog_count,bucket_total_leapfrog_count,mono_divergence_count,bucket_divergence_count,mono_max_realized_tree_depth,bucket_max_realized_tree_depth
chain_scaling,funnel,bucketed,history,512,256,128,2,16,0.9635934334126766,15.675768312066793,16.268031483516097,1,256,0.5,12010,12010,0,0,5,5
chain_scaling,funnel,bucketed,hvp,128,256,128,2,16,0.48101974153277516,15.675768312066793,32.58861738629639,2,0,0.0,12010,12010,0,0,5,5
chain_scaling,funnel,bucketed,hvp,256,256,128,2,16,0.9388488615928144,15.675768312066793,16.69679642096162,1,0,0.0,12010,12010,0,0,5,5
chain_scaling,funnel,bucketed,hvp,512,256,128,2,16,0.937529077963104,15.675768312066793,16.720300927758217,1,256,0.5,12010,12010,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,128,256,128,2,16,0.4653308456289855,15.675768312066793,33.687361281365156,2,0,0.0,12010,12010,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,256,256,128,2,16,0.9118054880855964,15.675768312066793,17.192009169608355,1,0,0.0,12010,12010,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,512,256,128,2,16,0.9134034697488764,15.675768312066793,17.16193208284676,1,256,0.5,12010,12010,0,0,5,5
chain_scaling,funnel,monolithic,monolithic,0,512,128,0,16,1.0,16.777472853660583,16.777472853660583,,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,bucketed,none,128,512,128,0,16,0.2520717585986327,16.777472853660583,66.55832032486796,4,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,bucketed,none,256,512,128,0,16,0.5087385130317527,16.777472853660583,32.978578235954046,2,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,bucketed,none,512,512,128,0,16,1.0313602396929706,16.777472853660583,16.267325622960925,1,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,bucketed,random,128,512,128,0,16,0.2614891432595851,16.777472853660583,64.16125979274511,4,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,bucketed,random,256,512,128,0,16,0.5219257467083092,16.777472853660583,32.14532519131899,2,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,bucketed,random,512,512,128,0,16,1.0298300702843919,16.777472853660583,16.29149637185037,1,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,bucketed,history,128,512,128,0,16,0.26366689170027224,16.777472853660583,63.63132187537849,4,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,bucketed,history,256,512,128,0,16,0.5236289355541007,16.777472853660583,32.040767258033156,2,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,bucketed,history,512,512,128,0,16,1.0411998663742645,16.777472853660583,16.11359489709139,1,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,bucketed,hvp,128,512,128,0,16,0.25600507090688307,16.777472853660583,65.53570518828928,4,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,bucketed,hvp,256,512,128,0,16,0.5184375866122448,16.777472853660583,32.3616058845073,2,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,bucketed,hvp,512,512,128,0,16,1.01311364857618,16.777472853660583,16.560306809842587,1,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,128,512,128,0,16,0.258671352517195,16.777472853660583,64.8601891566068,4,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,256,512,128,0,16,0.5026115205327109,16.777472853660583,33.38059747591615,2,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,512,512,128,0,16,0.9967155503705196,16.777472853660583,16.832759203389287,1,0,0.0,24177,24177,0,0,5,5
chain_scaling,funnel,monolithic,monolithic,0,512,128,1,16,1.0,16.389424307271838,16.389424307271838,,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,bucketed,none,128,512,128,1,16,0.24655079711845532,16.389424307271838,66.4748380407691,4,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,bucketed,none,256,512,128,1,16,0.5107185131307473,16.389424307271838,32.09091483056545,2,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,bucketed,none,512,512,128,1,16,1.0148859690868566,16.389424307271838,16.149030340835452,1,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,bucketed,random,128,512,128,1,16,0.25503862971810737,16.389424307271838,64.26251711510122,4,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,bucketed,random,256,512,128,1,16,0.5097640169021622,16.389424307271838,32.15100274607539,2,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,bucketed,random,512,512,128,1,16,1.0165512962803227,16.389424307271838,16.122574795037508,1,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,bucketed,history,128,512,128,1,16,0.24942131715296556,16.389424307271838,65.7097977604717,4,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,bucketed,history,256,512,128,1,16,0.4995573065020839,16.389424307271838,32.80789629928768,2,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,bucketed,history,512,512,128,1,16,0.9978996502000529,16.389424307271838,16.423920284956694,1,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,bucketed,hvp,128,512,128,1,16,0.25314134033888863,16.389424307271838,64.74416342005134,4,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,bucketed,hvp,256,512,128,1,16,0.5019615540986189,16.389424307271838,32.650756165385246,2,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,bucketed,hvp,512,512,128,1,16,0.9861281338374369,16.389424307271838,16.619974367320538,1,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,128,512,128,1,16,0.2521349955682693,16.389424307271838,65.00257637910545,4,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,256,512,128,1,16,0.5002394955865922,16.389424307271838,32.76315535232425,2,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,512,512,128,1,16,0.9867140581101821,16.389424307271838,16.610105199739337,1,0,0.0,24680,24680,0,0,5,5
chain_scaling,funnel,monolithic,monolithic,0,512,128,2,16,1.0,15.750920906662941,15.750920906662941,,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,bucketed,none,128,512,128,2,16,0.24440302769047514,15.750920906662941,64.44650483876467,4,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,bucketed,none,256,512,128,2,16,0.4897769625159712,15.750920906662941,32.15937480144203,2,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,bucketed,none,512,512,128,2,16,0.9648508603304544,15.750920906662941,16.324720798060298,1,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,bucketed,random,128,512,128,2,16,0.2417605845664268,15.750920906662941,65.15090511925519,4,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,bucketed,random,256,512,128,2,16,0.48845284193211014,15.750920906662941,32.2465539239347,2,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,bucketed,random,512,512,128,2,16,0.9718515641659133,15.750920906662941,16.20712615735829,1,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,bucketed,history,128,512,128,2,16,0.2444570547393658,15.750920906662941,64.43226162344217,4,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,bucketed,history,256,512,128,2,16,0.4877502147053978,15.750920906662941,32.29300660826266,2,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,bucketed,history,512,512,128,2,16,0.9705038625516772,15.750920906662941,16.22963237389922,1,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,bucketed,hvp,128,512,128,2,16,0.24031367970879997,15.750920906662941,65.54317226447165,4,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,bucketed,hvp,256,512,128,2,16,0.47645962276678505,15.750920906662941,33.05824912339449,2,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,bucketed,hvp,512,512,128,2,16,0.9339292180499651,15.750920906662941,16.865219121798873,1,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,128,512,128,2,16,0.24206677539162985,15.750920906662941,65.06849558837712,4,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,256,512,128,2,16,0.4832026988294728,15.750920906662941,32.59692246094346,2,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,512,512,128,2,16,0.9500813858862857,15.750920906662941,16.57849647477269,1,0,0.0,24027,24027,0,0,5,5
chain_scaling,funnel,monolithic,monolithic,0,1024,128,0,16,1.0,19.11710579879582,19.11710579879582,,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,bucketed,none,128,1024,128,0,16,0.14763155093688052,19.11710579879582,129.49200680665672,8,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,bucketed,none,256,1024,128,0,16,0.29491907469500345,19.11710579879582,64.82153051160276,4,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,bucketed,none,512,1024,128,0,16,0.5939639563017863,19.11710579879582,32.18563280813396,2,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,bucketed,random,128,1024,128,0,16,0.14782496549925347,19.11710579879582,129.32257913425565,8,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,bucketed,random,256,1024,128,0,16,0.29396018911608823,19.11710579879582,65.03297557495534,4,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,bucketed,random,512,1024,128,0,16,0.5916353426012241,19.11710579879582,32.312312031164765,2,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,bucketed,history,128,1024,128,0,16,0.14852977031199696,19.11710579879582,128.70891645923257,8,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,bucketed,history,256,1024,128,0,16,0.29368269712785416,19.11710579879582,65.0944232866168,4,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,bucketed,history,512,1024,128,0,16,0.5920168107601784,19.11710579879582,32.29149147681892,2,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,bucketed,hvp,128,1024,128,0,16,0.1424950312333734,19.11710579879582,134.15980636887252,8,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,bucketed,hvp,256,1024,128,0,16,0.2727745969518541,19.11710579879582,70.08389348722994,4,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,bucketed,hvp,512,1024,128,0,16,0.5759847074962766,19.11710579879582,33.1903009749949,2,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,128,1024,128,0,16,0.14737897254598314,19.11710579879582,129.71393047831953,8,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,256,1024,128,0,16,0.29193995879256884,19.11710579879582,65.483005059883,4,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,512,1024,128,0,16,0.5807234910169295,19.11710579879582,32.91946355625987,2,0,0.0,49123,49123,0,0,5,5
chain_scaling,funnel,monolithic,monolithic,0,1024,128,1,16,1.0,15.9668476190418,15.9668476190418,,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,bucketed,none,128,1024,128,1,16,0.12383879309284156,15.9668476190418,128.9325196109712,8,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,bucketed,none,256,1024,128,1,16,0.24763096963946116,15.9668476190418,64.47839558310807,4,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,bucketed,none,512,1024,128,1,16,0.4711019569617872,15.9668476190418,33.892552096396685,2,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,bucketed,random,128,1024,128,1,16,0.12018454331896115,15.9668476190418,132.8527544233948,8,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,bucketed,random,256,1024,128,1,16,0.246861041781224,15.9668476190418,64.6794954109937,4,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,bucketed,random,512,1024,128,1,16,0.4911482979534798,15.9668476190418,32.50921908020973,2,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,bucketed,history,128,1024,128,1,16,0.12270509490555422,15.9668476190418,130.12375428527594,8,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,bucketed,history,256,1024,128,1,16,0.24797125632566,15.9668476190418,64.38991299085319,4,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,bucketed,history,512,1024,128,1,16,0.4922027961406335,15.9668476190418,32.43957113660872,2,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,bucketed,hvp,128,1024,128,1,16,0.12320124546914538,15.9668476190418,129.5997257027775,8,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,bucketed,hvp,256,1024,128,1,16,0.2426358474113366,15.9668476190418,65.80580647662282,4,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,bucketed,hvp,512,1024,128,1,16,0.45594064146103014,15.9668476190418,35.01957528479397,2,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,128,1024,128,1,16,0.1174198653205999,15.9668476190418,135.980803379789,8,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,256,1024,128,1,16,0.239448238918135,15.9668476190418,66.68183358199894,4,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,512,1024,128,1,16,0.48729932330268305,15.9668476190418,32.765995878726244,2,0,0.0,49006,49006,0,0,5,5
chain_scaling,funnel,monolithic,monolithic,0,1024,128,2,16,1.0,15.845470303669572,15.845470303669572,,0,0.0,48375,48375,0,0,5,5
