row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,20,0.4579002484679222,0.3850673586130142,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,21,0.4579942300915718,0.4614995867013931,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,22,0.4689846560359001,0.42946500331163406,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,23,0.4237680435180664,0.41105320304632187,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,24,0.4709895923733711,0.46868230402469635,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,25,0.4380597397685051,0.46455902606248856,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,26,0.4559989869594574,0.40300196409225464,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,27,0.43461093306541443,0.408950999379158,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,28,0.4428921118378639,0.4499886706471443,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,29,0.43545103818178177,0.4151429757475853,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
