row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
3,eight_schools_centered,0,bucketed,history,64,512,10,1,1.8801997303962708,1.9111573994159698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,2,1.8652122542262077,1.9430657252669334,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,3,1.9119343385100365,1.8961446657776833,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,4,2.0160646811127663,1.91951934248209,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,5,1.9361215829849243,1.8692869767546654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,6,1.8895623460412025,1.9063723012804985,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,7,1.858596757054329,1.899858683347702,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,8,1.9722922146320343,1.933768354356289,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,9,1.8711046800017357,1.9129450246691704,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,10,1.8175878301262856,1.9250566065311432,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,11,1.9244940131902695,1.9359266012907028,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,12,1.9602629095315933,1.910935364663601,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,13,1.851358748972416,1.8919311687350273,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,14,1.9074355736374855,1.8886633589863777,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,15,1.8783572390675545,1.9545903131365776,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,16,1.8465295508503914,1.8915774747729301,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,17,1.9717784896492958,1.9287863373756409,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,18,1.9313913583755493,1.956614799797535,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,19,1.768967665731907,1.9041771441698074,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,20,1.908370241522789,1.8726266995072365,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,21,1.944319911301136,1.9650556817650795,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,22,1.9163030982017517,1.8695087134838104,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,23,1.9416094198822975,1.8976451754570007,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,24,2.0203521847724915,1.8923601806163788,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,25,1.9015859439969063,1.894813895225525,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,26,1.8795045241713524,1.9159119948744774,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,27,1.8005230873823166,2.023951657116413,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,28,2.031785488128662,2.2047670111060143,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,29,2.0097159817814827,1.9401726871728897,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,0,1.7149292305111885,1.9096629992127419,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,1,1.7021470814943314,1.9111573994159698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,2,1.7799846082925797,1.9430657252669334,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,3,1.7842078879475594,1.8961446657776833,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,4,1.772470809519291,1.91951934248209,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,5,1.8464323058724403,1.8692869767546654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,6,1.770200952887535,1.9063723012804985,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,7,1.786635845899582,1.899858683347702,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,8,1.7579313814640045,1.933768354356289,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,9,1.724662221968174,1.9129450246691704,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,10,1.7560437694191933,1.9250566065311432,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
