row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
3,funnel,0,bucketed,history,64,512,4,19,1.110735610127449,1.1923077777028084,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,20,1.1328972801566124,1.1879411488771439,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,21,1.198878362774849,1.3426483049988747,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,22,1.0757505595684052,1.2575353533029556,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,23,1.2325274869799614,1.2139033898711205,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,24,1.208811305463314,1.2461310476064682,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,25,1.2108775079250336,1.13908152282238,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,26,1.2487710788846016,1.1268511936068535,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,27,1.4269645810127258,1.213769368827343,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,28,1.3158886805176735,1.1329900547862053,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,29,1.3138692378997803,1.1328783109784126,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,0,1.018990196287632,5.516673177480698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,1,1.1407778710126877,1.5464336723089218,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,2,1.2411853820085526,1.2873298302292824,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,3,1.015374019742012,1.146246425807476,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,4,1.2142509371042252,1.126074455678463,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,5,1.2008926197886467,1.1261163130402565,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,6,1.1152380406856537,1.3017523363232613,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,7,1.1646492406725883,1.1973343789577484,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,8,1.1746722310781479,1.22721466422081,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,9,1.093487486243248,1.197967290878296,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,10,1.2543315514922142,1.3669117912650108,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,11,1.2284206449985504,1.2144282907247543,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,12,1.2058954164385796,1.0690568834543228,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,13,1.2400908768177032,1.060584895312786,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,14,1.2170389965176582,1.1709498837590218,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,15,1.1870091930031776,1.152604602277279,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,16,1.0753291547298431,1.0969994962215424,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,17,1.1072783395648003,1.1396895945072174,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,18,1.193888247013092,1.1560478210449219,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,19,1.1617019698023796,1.1923077777028084,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,20,1.1307289451360703,1.1879411488771439,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,21,1.0842149406671524,1.3426483049988747,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,22,1.3819854333996773,1.2575353533029556,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,23,1.1423224061727524,1.2139033898711205,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,24,1.281714916229248,1.2461310476064682,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,25,1.1995195522904396,1.13908152282238,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,26,1.1224326714873314,1.1268511936068535,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,27,1.2437128871679306,1.213769368827343,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,28,1.341053232550621,1.1329900547862053,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,29,1.1462841629981995,1.1328783109784126,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,0,1.5246153771877289,5.516673177480698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,1,1.4751267284154892,1.5464336723089218,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,2,1.4634055197238922,1.2873298302292824,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,3,1.1477264240384102,1.146246425807476,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,4,1.2920972108840942,1.126074455678463,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,5,1.3360601216554642,1.1261163130402565,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,6,1.362173043191433,1.3017523363232613,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,7,1.3270910680294037,1.1973343789577484,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,8,1.35956709086895,1.22721466422081,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,9,1.3938428238034248,1.197967290878296,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,10,1.126817725598812,1.3669117912650108,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,11,1.3336726650595665,1.2144282907247543,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,12,1.1741772294044495,1.0690568834543228,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,13,1.1152261644601822,1.060584895312786,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,14,1.41752128303051,1.1709498837590218,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,15,1.1567059084773064,1.152604602277279,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,16,1.3715173155069351,1.0969994962215424,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,17,1.4208360388875008,1.1396895945072174,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,18,1.5083147957921028,1.1560478210449219,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,19,1.3165016397833824,1.1923077777028084,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,20,1.3448044806718826,1.1879411488771439,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,21,1.4445227980613708,1.3426483049988747,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,22,1.2630764096975327,1.2575353533029556,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,23,1.3506255820393562,1.2139033898711205,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,24,1.5522687807679176,1.2461310476064682,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,25,1.4011221081018448,1.13908152282238,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,26,1.3494852781295776,1.1268511936068535,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,27,1.3786874935030937,1.213769368827343,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,28,1.3692507147789001,1.1329900547862053,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,29,1.1976483836770058,1.1328783109784126,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,funnel,0,bucketed,last_depth,128,512,4,0,1.3967315331101418,5.516673177480698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,funnel,0,bucketed,last_depth,128,512,4,1,1.450157880783081,1.5464336723089218,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,funnel,0,bucketed,last_depth,128,512,4,2,1.257970929145813,1.2873298302292824,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,funnel,0,bucketed,last_depth,128,512,4,3,1.382601834833622,1.146246425807476,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,funnel,0,bucketed,last_depth,128,512,4,4,1.4664471819996834,1.126074455678463,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
6,funnel,0,bucketed,last_depth,128,512,4,5,1.418651930987835,1.1261163130402565,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
