row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
2,funnel,0,bucketed,history,128,128,4,1,0.5429673492908478,0.41989999264478683,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,2,0.4753040745854378,0.4161922112107277,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,3,0.5493659228086472,0.4243306741118431,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,4,0.5805553272366524,0.4902585968375206,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,5,0.6038531139492989,0.4458199292421341,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,6,0.641171433031559,0.4322126805782318,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,7,0.5625064224004745,0.4669584110379219,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,8,0.601531594991684,0.4399724677205086,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,9,0.5196929275989532,0.4015827924013138,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,10,0.5051908940076828,0.40583763271570206,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,11,0.5156608894467354,0.4465572312474251,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,12,0.5565396770834923,0.41323989629745483,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,13,0.6025412455201149,0.37846144288778305,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,14,0.5411285012960434,0.3547256290912628,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,15,0.6215291544795036,0.36726294457912445,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,16,0.5155755579471588,0.3849094286561012,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
