row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
3,gaussian_process,0,bucketed,history,64,512,3,17,4.653800085186958,4.38070971518755,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,18,4.6763018518686295,4.169888757169247,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,19,4.00110487639904,4.037783786654472,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,20,3.7584703266620636,3.9307724311947823,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,21,4.023222714662552,3.9523887783288956,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,22,3.9653402492403984,4.098079152405262,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,23,3.802492842078209,3.6900958865880966,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,24,3.8406591042876244,3.934819996356964,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,25,4.03074673563242,3.9256811290979385,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,26,4.008020006120205,3.948438249528408,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,27,4.239277899265289,3.7990537136793137,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,28,4.779915653169155,3.8709884732961655,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,gaussian_process,0,bucketed,history,64,512,3,29,4.5896463841199875,3.812593623995781,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,gaussian_process,0,bucketed,history,128,512,3,0,4.090280383825302,3.934896059334278,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
