row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
2,eight_schools_noncentered,0,bucketed,none,128,512,10,10,0.4892648905515671,0.40481144934892654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,11,0.4958406016230583,0.43699079006910324,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,12,0.49212250113487244,0.4259481728076935,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,13,0.48782599717378616,0.48324649780988693,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,14,0.47383592277765274,0.44373349845409393,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,15,0.5133866742253304,0.38824448734521866,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,16,0.48788170516490936,0.40607158839702606,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,17,0.49672670662403107,0.4142390862107277,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,18,0.464045949280262,0.46437107771635056,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,19,0.5155433192849159,0.4123690128326416,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,20,0.5165435075759888,0.34695278108119965,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,21,0.48188941925764084,0.42094798386096954,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,22,0.46315908432006836,0.4756600558757782,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,23,0.5209534168243408,0.47432053834199905,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,24,0.49929971992969513,0.41115882992744446,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,25,0.5044758394360542,0.43033184856176376,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,26,0.4599148705601692,0.4238474667072296,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
