model,num_chains,predictor,bucket_size,seeds,repeats_per_seed,median_speedup,speedup_seed_min,speedup_seed_max,speedup_ci_low,speedup_ci_high,median_time_seconds,time_q1_seconds,time_q3_seconds,all_transition_metrics_match
eight_schools_noncentered,512,unsorted,128,5,30,0.9553167663767173,0.9070910431334219,1.1475410181004122,0.8938536900686542,1.1483243552378837,0.4301571547985077,0.4165848959237337,0.4493618365377188,True
funnel,512,history,64,5,30,1.0592261019236493,1.04521213435435,1.1450847546161573,1.0075253802449289,1.1485637801827984,0.9721154309809208,0.9152923207730055,1.029600340873003,True
funnel,512,history,128,5,30,0.9901651039789889,0.9557195194165571,1.0605357894306022,0.9478552868075031,1.0701019012721051,1.0404695682227612,0.9840355217456818,1.1156534235924482,True
funnel,512,last-depth,64,5,30,0.9922312533003191,0.9436792563301574,1.0077886467952242,0.9337922021075896,1.025369057094453,1.0696986205875874,1.0124024469405413,1.1236862409859896,True
funnel,512,last-depth,128,5,30,0.8895228910089675,0.8153473775362386,0.9577985964715977,0.8132532886574988,0.9598897811911261,1.1744542121887207,1.0925961509346962,1.2654756028205156,True
funnel,512,unsorted,64,5,30,0.6919997142504652,0.6672213607612851,0.7246861522955225,0.6613587859957117,0.7258603765845878,1.511424195021391,1.4413739759474993,1.6094839852303267,True
funnel,512,unsorted,128,5,30,0.644865855598443,0.5974429856687332,0.6699707274248797,0.5964516846016866,0.6857145771034,1.6357200741767883,1.5266045425087214,1.742136811837554,True
gaussian_process,512,history,64,5,30,0.9652218275194899,0.9408015374935809,1.037115450313715,0.9301810567047041,1.0374667439523164,4.026984725147486,3.895952707156539,4.217415928840637,True
gaussian_process,512,history,128,5,30,1.0088862507144936,0.9205683813156733,1.057942648460085,0.9159390532492334,1.0732347370352988,3.8897100798785686,3.7568151485174894,4.180242987349629,True
gaussian_process,512,last-depth,64,5,30,0.9669399103764349,0.9465693956881598,1.0275059650127287,0.9351487639896079,1.0325129825450003,4.003222435712814,3.8836536202579737,4.190667172893882,True
gaussian_process,512,last-depth,128,5,30,0.9831031313572702,0.9307511405294187,1.0409555322904187,0.9215417322226583,1.0450881638834135,4.042627822607756,3.827447796240449,4.257204238325357,True
gaussian_process,512,unsorted,64,5,30,0.9719056837319531,0.9460907688001936,1.0175385237792658,0.9346552936166705,1.0412760939420487,4.060819558799267,3.8834508806467056,4.253808846697211,True
gaussian_process,512,unsorted,128,5,30,1.0194645662219657,0.9365223265835072,1.1155113641253795,0.9337175940981267,1.1194127696874552,3.9312308579683304,3.715848123654723,4.093917056918144,True
hierarchical_logistic,512,history,64,5,30,0.8678572639340425,0.8570974647897431,1.1533857291813265,0.8493696244440516,1.1501322672926864,0.4180164448916912,0.40599788539111614,0.4346351157873869,True
hierarchical_logistic,512,history,128,5,30,0.8156611056928302,0.7876224920051067,1.0173516776167053,0.783417641913397,1.0138315905695898,0.4605613835155964,0.4422129560261965,0.5096867401152849,True
hierarchical_logistic,512,last-depth,64,5,30,0.8830387621164711,0.8494010026147548,1.1422321694496074,0.8349261616779581,1.1401317605801433,0.4228726550936699,0.4094667788594961,0.43784163519740105,True
hierarchical_logistic,512,last-depth,128,5,30,0.7984835448665133,0.5892263392179825,1.0342442078913143,0.5875157353439644,1.034841978530975,0.47512637823820114,0.45281623490154743,0.5732578467577696,True
hierarchical_logistic,512,unsorted,64,5,30,0.884189320019718,0.7750079809198513,1.0853679442298836,0.7690356511631209,1.0901335701604447,0.4310142323374748,0.4149081762880087,0.4828304834663868,True
hierarchical_logistic,512,unsorted,128,5,30,0.8161093669887565,0.6714797117118083,1.0039466768174612,0.6707206953934592,1.0236629038367988,0.4669762961566448,0.4546364713460207,0.49013718217611313,True
stochastic_volatility,512,history,64,5,30,0.5288069041291942,0.480312730955036,0.6019892158656829,0.4729052153173087,0.6182487273330767,0.5377978086471558,0.47205878607928753,0.6480986028909683,True
stochastic_volatility,512,history,128,5,30,0.6597088987217156,0.4776571099665244,0.7114863644768646,0.47428475305268897,0.7187895727873381,0.48722849413752556,0.4215317349880934,0.5379205346107483,True
stochastic_volatility,512,last-depth,64,5,30,0.5771803507320277,0.42069084046934024,0.7205949379805933,0.41801453142576994,0.722028920652794,0.4999207593500614,0.459631085395813,0.5946944840252399,True
